instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right,key_resp.rt
0.02407406,-0.424074102,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02407406,-0.424074102,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.241666653,-0.343518504,1,0,0,3.7775,button_right,3.7775,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.241666653,-0.343518504,1,0,0,1.8974,button_right,1.8974,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.243518547,-0.342592593,1,0,0,0.4154,button_right,0.4154,0,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.243518547,-0.342592593,1,0,0,0.3302,button_right,0.3302,0,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.256481524,-0.327777792,1,0,0,0.2823,button_right,0.2823,0,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.256481524,-0.327777792,1,0,0,0.0318,button_right,0.0318,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.256481524,-0.327777792,1,0,0,0.3481,button_right,0.3481,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.256481524,-0.327777792,1,0,0,0.266,button_right,0.266,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.256481524,-0.327777792,1,0,0,0.3113,button_right,0.3113,0,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,0,0.256481524,-0.327777792,1,0,0,0.416,button_right,0.416,0,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,,
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative",
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,1,0.198947384,-0.303421101,1,0,0,882.6421,,883.6199,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,,883.6199
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.3191,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,,0.3191
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.0873,0,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,,0.0873
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.3008,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,,0.3008
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.0884,0,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,,0.0884
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.2978,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,,0.2978
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.2842,0,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,,0.2842
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.1555,1,0,7,7,1,1,stimuli/white_1.jpg,,l,,,,,,,,,0.1555
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.3203,0,0,8,8,2,1,stimuli/black_2.jpg,,a,,,,,,,,,0.3203
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,0.2586,0,0,9,9,4,1,stimuli/black_3.jpg,,a,,,,,,,,,0.2586
,,,,,,,,,,,,,juju,2,001,male,2022-09-28_16h55.05.570,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White",
