instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.006297743,-0.417569444,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0.006297743,-0.417569444,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.9514,,,,,,,,3.9514,1,0,0,0,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.7179,,,,,,,,2.7179,1,0,1,1,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0369,,,,,,,,1.0369,1,0,2,2,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.2163,,,,,,,,1.2163,1,0,3,3,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.6526,,,,,,,,0.6526,0,0,4,4,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.4343,,,,,,,,2.4343,1,0,5,5,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.8527,,,,,,,,1.8527,1,0,6,6,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,mm,1,001,male,2021-10-01_18h35.19.885,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.131,,,,,,,,1.131,0,0,7,7,2,1,stimuli/blank.png,Happy,a
